LOG:  database system was shut down at 2012-07-29 23:31:50 CEST
LOG:  database system is ready to accept connections
LOG:  autovacuum launcher started
LOG:  duration: 318.288 ms  statement: select a, b from mb[1,100000] error=1000 pinterval=1;
LOG:  duration: 1111.064 ms  statement: select a, b from uk3 where a <100000;
LOG:  duration: 620.574 ms  statement: select a, b from mb[1,200000] error=1000 pinterval=1;
LOG:  duration: 1306.773 ms  statement: select a, b from uk3 where a <200000;
LOG:  duration: 1040.512 ms  statement: select a, b from mb[1,300000] error=1000 pinterval=1;
LOG:  duration: 1381.145 ms  statement: select a, b from uk3 where a <300000;
LOG:  duration: 1242.816 ms  statement: select a, b from mb[1,400000] error=1000 pinterval=1;
LOG:  duration: 1607.789 ms  statement: select a, b from uk3 where a <400000;
LOG:  duration: 1533.578 ms  statement: select a, b from mb[1,500000] error=1000 pinterval=1;
LOG:  duration: 1832.903 ms  statement: select a, b from uk3 where a <500000;
LOG:  duration: 1848.025 ms  statement: select a, b from mb[1,600000] error=1000 pinterval=1;
LOG:  duration: 2251.497 ms  statement: select a, b from uk3 where a <600000;
LOG:  duration: 2346.209 ms  statement: select a, b from mb[1,700000] error=1000 pinterval=1;
LOG:  duration: 2352.051 ms  statement: select a, b from uk3 where a <700000;
LOG:  duration: 2568.297 ms  statement: select a, b from mb[1,800000] error=1000 pinterval=1;
LOG:  duration: 2529.610 ms  statement: select a, b from uk3 where a <800000;
LOG:  duration: 2876.034 ms  statement: select a, b from mb[1,900000] error=1000 pinterval=1;
LOG:  duration: 2797.649 ms  statement: select a, b from uk3 where a <900000;
LOG:  duration: 3176.974 ms  statement: select a, b from mb[1,1000000] error=1000 pinterval=1;
LOG:  duration: 3152.980 ms  statement: select a, b from uk3 where a <1000000;
LOG:  duration: 3996.704 ms  statement: select a, b from mb[1,1100000] error=1000 pinterval=1;
LOG:  duration: 4034.090 ms  statement: select a, b from uk3 where a <1100000;
LOG:  duration: 3978.756 ms  statement: select a, b from mb[1,1200000] error=1000 pinterval=1;
LOG:  duration: 3288.380 ms  statement: select a, b from uk3 where a <1200000;
LOG:  duration: 4014.462 ms  statement: select a, b from mb[1,1300000] error=1000 pinterval=1;
LOG:  duration: 3513.505 ms  statement: select a, b from uk3 where a <1300000;
LOG:  duration: 4297.838 ms  statement: select a, b from mb[1,1400000] error=1000 pinterval=1;
LOG:  duration: 4031.902 ms  statement: select a, b from uk3 where a <1400000;
LOG:  duration: 4993.993 ms  statement: select a, b from mb[1,1500000] error=1000 pinterval=1;
LOG:  duration: 4276.202 ms  statement: select a, b from uk3 where a <1500000;
LOG:  duration: 5220.208 ms  statement: select a, b from mb[1,1600000] error=1000 pinterval=1;
LOG:  duration: 4607.105 ms  statement: select a, b from uk3 where a <1600000;
LOG:  duration: 5681.312 ms  statement: select a, b from mb[1,1700000] error=1000 pinterval=1;
LOG:  duration: 5131.174 ms  statement: select a, b from uk3 where a <1700000;
LOG:  duration: 6629.577 ms  statement: select a, b from mb[1,1800000] error=1000 pinterval=1;
LOG:  duration: 4984.112 ms  statement: select a, b from uk3 where a <1800000;
LOG:  duration: 6566.236 ms  statement: select a, b from mb[1,1900000] error=1000 pinterval=1;
LOG:  duration: 4761.137 ms  statement: select a, b from uk3 where a <1900000;
LOG:  duration: 6245.137 ms  statement: select a, b from mb[1,2000000] error=1000 pinterval=1;
LOG:  duration: 6674.249 ms  statement: select a, b from uk3 where a <2000000;
LOG:  duration: 3271.702 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1;
LOG:  duration: 3301.176 ms  statement: select a, b from mb[1,1000000] error=501 pinterval=1;
LOG:  duration: 3448.379 ms  statement: select a, b from mb[1,1000000] error=1001 pinterval=1;
LOG:  duration: 3193.822 ms  statement: select a, b from mb[1,1000000] error=1501 pinterval=1;
